,dob,photo_taken,full_path,gender,age,pixels
2066,701377,1944,['71/13023771_1920-04-21_1944.jpg'],1.0,24,"tensor([216., 216., 216.,  ..., 228., 228., 228.])"
2067,724322,2008,['92/13024892_1983-02-15_2008.jpg'],0.0,25,"tensor([243., 246., 253.,  ..., 244., 225., 210.])"
2069,719611,2005,['59/13025559_1970-03-24_2005.jpg'],1.0,35,"tensor([114.,   1.,   0.,  ..., 158.,  85.,  50.])"
2071,719404,2005,['07/13025907_1969-08-29_2005.jpg'],1.0,36,"tensor([ 61.,  44.,  24.,  ..., 137., 141., 140.])"
2076,720138,2009,['29/1302729_1971-09-02_2009.jpg'],1.0,38,"tensor([218., 211., 193.,  ...,  11.,  11.,   9.])"
2079,710492,1968,['11/13028811_1945-04-05_1968.jpg'],1.0,23,"tensor([ 10.,  49.,  48.,  ..., 246., 224., 200.])"
2081,727489,2013,['96/13029296_1991-10-18_2013.jpg'],1.0,22,"tensor([179., 146., 137.,  ..., 231., 211., 212.])"
2084,710212,2008,['30/13030_1944-06-29_2008.jpg'],1.0,64,"tensor([208., 206., 209.,  ...,  30.,  31.,  25.])"
2086,726248,2010,['69/13031169_1988-05-25_2010.jpg'],1.0,22,"tensor([44., 55., 47.,  ..., 26., 26., 24.])"
2087,723967,2009,['25/1303125_1982-02-25_2009.jpg'],0.0,27,"tensor([255., 255., 255.,  ...,  25.,  26.,  30.])"
2089,718686,2007,['61/1303261_1967-09-11_2007.jpg'],0.0,40,"tensor([ 84.,  86.,  85.,  ..., 168., 143., 113.])"
2093,723759,2007,['30/13033930_1981-08-01_2007.jpg'],0.0,26,"tensor([159., 163., 175.,  ..., 139.,  96.,  77.])"
2095,724572,2013,['11/13034811_1983-10-23_2013.jpg'],1.0,30,"tensor([189., 169., 168.,  ...,  12.,  13.,  18.])"
2097,714037,2003,['65/1303565_1954-12-19_2003.jpg'],1.0,49,"tensor([255., 255., 255.,  ..., 205., 206., 211.])"
2100,723615,2011,['79/1303679_1981-03-10_2011.jpg'],1.0,30,"tensor([131., 194., 209.,  ..., 219., 247., 198.])"
2106,724513,2011,['62/13039262_1983-08-25_2011.jpg'],1.0,28,"tensor([111., 144., 189.,  ...,  31., 126., 128.])"
2111,724972,2009,['69/13039369_1984-11-26_2009.jpg'],1.0,25,"tensor([ 50.,  35.,  40.,  ...,  58., 241., 255.])"
2118,725539,2014,['38/13042838_1986-06-16_2014.jpg'],1.0,28,"tensor([ 55.,  54.,  59.,  ..., 128., 188., 250.])"
2121,724040,2014,['13/13045013_1982-05-09_2014.jpg'],0.0,32,"tensor([184., 181., 198.,  ..., 170., 174., 177.])"
2126,726237,2008,['41/13046941_1988-05-14_2008.jpg'],1.0,20,"tensor([106., 159., 190.,  ..., 193., 191., 215.])"
2127,721746,2008,['16/1304716_1976-01-27_2008.jpg'],0.0,32,"tensor([243., 238., 234.,  ...,  46.,  43.,  36.])"
2128,724872,2011,['56/13047456_1984-08-18_2011.jpg'],1.0,27,"tensor([152., 156., 165.,  ..., 253., 252., 255.])"
2129,724294,2012,['78/13047578_1983-01-18_2012.jpg'],1.0,29,"tensor([158., 155., 150.,  ...,  32.,  32.,  32.])"
2130,726783,2010,['84/13047884_1989-11-11_2010.jpg'],0.0,21,"tensor([97., 72., 31.,  ..., 11.,  1.,  2.])"
2131,722756,2015,['48/13048148_1978-11-02_2015.jpg'],1.0,37,"tensor([ 79.,  47.,  84.,  ..., 195., 143.,  96.])"
2132,711841,1994,['86/13048186_1948-12-14_1994.jpg'],1.0,46,"tensor([137., 138., 140.,  ...,  83.,  84.,  86.])"
2136,726376,2014,['63/13050963_1988-09-30_2014.jpg'],1.0,26,"tensor([120.,  74.,  58.,  ..., 255., 252., 134.])"
2137,725941,2014,['78/13051378_1987-07-23_2014.jpg'],1.0,27,"tensor([ 68.,  66.,  69.,  ..., 249., 221.,  88.])"
2138,719764,2010,['70/13051470_1970-08-24_2010.jpg'],1.0,40,"tensor([ 7.,  3.,  2.,  ..., 40., 36., 35.])"
2141,723348,2011,['47/13054347_1980-06-16_2011.jpg'],1.0,31,"tensor([157.,  78.,  63.,  ...,  27.,  21.,   0.])"
2143,722501,2015,['08/1305508_1978-02-20_2015.jpg'],1.0,37,"tensor([105., 138., 171.,  ...,  66.,  54.,  56.])"
2149,702313,1960,['52/1305852_1922-11-13_1960.jpg'],1.0,38,"tensor([217., 217., 217.,  ..., 112., 112., 112.])"
2150,712376,2006,['53/1305853_1950-06-02_2006.jpg'],1.0,56,"tensor([177., 167., 155.,  ..., 133., 135., 176.])"
2151,724692,2012,['77/13059977_1984-02-20_2012.jpg'],0.0,28,"tensor([175., 176., 171.,  ..., 168., 127., 109.])"
2152,718486,2007,['94/13060494_1967-02-23_2007.jpg'],0.0,40,"tensor([112.,  71.,   9.,  ..., 183., 141., 119.])"
2154,726188,2008,['84/13061184_1988-03-26_2008.jpg'],0.0,20,"tensor([ 21.,  19.,  56.,  ...,  88.,  84., 109.])"
2159,725531,2011,['24/13062624_1986-06-08_2011.jpg'],1.0,25,"tensor([ 36.,  57., 102.,  ...,  58., 110., 232.])"
2160,719500,2009,['30/13062930_1969-12-03_2009.jpg'],1.0,40,"tensor([255., 255., 255.,  ...,  27.,  29.,  41.])"
2161,717561,2009,['08/13063308_1964-08-12_2009.jpg'],1.0,45,"tensor([0., 0., 0.,  ..., 6., 7., 9.])"
2162,716526,2009,['35/1306335_1961-10-12_2009.jpg'],1.0,48,"tensor([ 48.,  17.,  15.,  ...,  97.,  93., 110.])"
2164,720760,2009,['51/1306351_1973-05-16_2009.jpg'],1.0,36,"tensor([95., 64., 62.,  ..., 70., 71., 73.])"
2167,689116,1950,['57/13064157_1886-09-25_1950.jpg'],1.0,64,"tensor([ 32.,  32.,  32.,  ..., 203., 203., 203.])"
2172,714489,1984,['68/1306468_1956-03-15_1984.jpg'],1.0,28,"tensor([239., 247., 255.,  ...,  95.,  58.,  49.])"
2173,719262,2005,['92/13064892_1969-04-09_2005.jpg'],1.0,36,"tensor([62., 27., 23.,  ..., 66., 65., 63.])"
2174,705410,1965,['36/13066436_1931-05-07_1965.jpg'],1.0,34,"tensor([163., 163., 163.,  ..., 100., 100., 100.])"
2176,718888,2012,['87/13068787_1968-03-31_2012.jpg'],0.0,44,"tensor([159., 161., 176.,  ..., 251., 251., 253.])"
2178,718589,2013,['15/130715_1967-06-06_2013.jpg'],1.0,46,"tensor([8., 4., 3.,  ..., 3., 3., 3.])"
2180,724816,2009,['94/13072894_1984-06-23_2009.jpg'],0.0,25,"tensor([244., 227., 197.,  ...,  18., 140., 161.])"
2182,724399,2011,['98/13073298_1983-05-03_2011.jpg'],0.0,28,"tensor([84., 67., 47.,  ..., 24., 20., 17.])"
2184,720847,2010,['25/13073725_1973-08-11_2010.jpg'],1.0,37,"tensor([238., 126., 150.,  ...,  10.,   4.,   4.])"
2185,722446,2006,['37/13073737_1977-12-27_2006.jpg'],0.0,29,"tensor([ 62., 127., 133.,  ...,  78.,  44.,  19.])"
2187,726414,2009,['51/13074751_1988-11-07_2009.jpg'],1.0,21,"tensor([ 67.,  69.,  47.,  ..., 255.,  63.,  84.])"
2188,710411,1977,['38/13075038_1945-01-14_1977.jpg'],0.0,32,"tensor([157., 175., 199.,  ..., 242., 240., 243.])"
2191,723917,2008,['49/1307649_1982-01-06_2008.jpg'],1.0,26,"tensor([ 15.,  11.,   8.,  ..., 156., 103.,  69.])"
2193,725176,2014,['91/13076591_1985-06-18_2014.jpg'],0.0,29,"tensor([ 12.,  11.,   7.,  ..., 232.,  49.,  54.])"
2194,709827,2012,['72/1307672_1943-06-10_2012.jpg'],1.0,69,"tensor([213., 195., 159.,  ...,  36.,  37.,  31.])"
2195,726898,2010,['02/13077802_1990-03-06_2010.jpg'],0.0,20,"tensor([85., 60., 29.,  ..., 65., 51., 40.])"
2196,707604,2011,['29/1307929_1937-05-09_2011.jpg'],1.0,74,"tensor([84., 43., 51.,  ..., 17., 15., 26.])"
2198,727425,2010,['72/13079372_1991-08-15_2010.jpg'],1.0,19,"tensor([24.,  8.,  8.,  ..., 25., 26., 56.])"
2200,703100,1952,['50/13079650_1925-01-08_1952.jpg'],1.0,27,"tensor([159., 158., 156.,  ...,  93.,  81.,  83.])"
2202,715028,1980,['26/13079926_1957-09-05_1980.jpg'],1.0,23,"tensor([233., 233., 233.,  ...,  23.,  23.,  23.])"
2203,725051,2015,['14/13080414_1985-02-13_2015.jpg'],1.0,30,"tensor([154., 156., 143.,  ...,  52.,  59.,  51.])"
2208,725412,2012,['09/13085909_1986-02-09_2012.jpg'],1.0,26,"tensor([ 61.,  41.,  40.,  ...,  59., 107., 189.])"
2213,713822,2013,['02/1308802_1954-05-18_2013.jpg'],1.0,59,"tensor([  1.,   1.,   1.,  ..., 170., 142., 131.])"
2216,724622,2011,['18/13090018_1983-12-12_2011.jpg'],1.0,28,"tensor([224., 224., 224.,  ...,   9.,  13.,  12.])"
2217,720881,2015,['57/1309057_1973-09-14_2015.jpg'],1.0,42,"tensor([164., 201., 243.,  ...,  52.,  53.,  57.])"
2219,725516,2013,['36/13091236_1986-05-24_2013.jpg'],1.0,27,"tensor([ 0.,  0.,  0.,  ...,  8., 23., 62.])"
2221,708810,2008,['79/13092179_1940-08-27_2008.jpg'],1.0,68,"tensor([152., 131., 112.,  ...,  87.,  95.,  98.])"
2222,714438,1975,['23/1309423_1956-01-24_1975.jpg'],1.0,19,"tensor([195., 209., 218.,  ..., 218., 211., 195.])"
2223,716905,2011,['94/13094394_1962-10-26_2011.jpg'],1.0,49,"tensor([39., 39., 39.,  ..., 29., 29., 29.])"
2230,719563,2004,['45/13099945_1970-02-04_2004.jpg'],1.0,34,"tensor([ 78.,  67.,  21.,  ..., 113., 123., 115.])"
2231,723490,2010,['56/2300056_1980-11-05_2010.jpg'],1.0,30,"tensor([ 90.,  83.,  57.,  ...,  47.,  80., 123.])"
2233,710380,2014,['18/23000918_1944-12-14_2014.jpg'],1.0,70,"tensor([13.,  9., 10.,  ..., 49., 32., 24.])"
2235,726069,2014,['88/23002288_1987-11-28_2014.jpg'],0.0,27,"tensor([ 60.,  64.,  73.,  ..., 156., 129., 170.])"
2239,721107,2011,['06/23006_1974-04-28_2011.jpg'],0.0,37,"tensor([217., 250., 255.,  ...,  33.,  36.,  41.])"
2240,707741,1969,['68/23007268_1937-09-23_1969.jpg'],0.0,32,"tensor([73., 73., 71.,  ..., 88., 90., 87.])"
2253,723522,2009,['07/2301707_1980-12-07_2009.jpg'],1.0,29,"tensor([ 72.,  82.,  94.,  ..., 228.,  58.,  32.])"
2254,717635,2010,['12/2301712_1964-10-25_2010.jpg'],1.0,46,"tensor([154., 144., 143.,  ..., 243., 233., 208.])"
2257,697161,1952,['34/23018734_1908-10-05_1952.jpg'],1.0,44,"tensor([238., 238., 238.,  ...,  49.,  49.,  49.])"
2259,724848,2012,['91/23019591_1984-07-25_2012.jpg'],1.0,28,"tensor([179.,  82.,  91.,  ..., 172.,  82.,  81.])"
2262,711577,1974,['30/2302130_1948-03-25_1974.jpg'],0.0,26,"tensor([198., 198., 198.,  ..., 186., 186., 186.])"
2263,725463,2012,['70/23021870_1986-04-01_2012.jpg'],0.0,26,"tensor([192.,  86.,  98.,  ..., 121.,  72.,  78.])"
2268,719299,2013,['84/2302584_1969-05-16_2013.jpg'],0.0,44,"tensor([220., 221., 213.,  ..., 189., 174., 153.])"
2271,722462,2006,['42/2302742_1978-01-12_2006.jpg'],1.0,28,"tensor([ 2.,  2.,  2.,  ..., 21., 26., 20.])"
2273,721384,2011,['38/2303038_1975-01-30_2011.jpg'],1.0,36,"tensor([ 85.,  86.,  88.,  ..., 161., 122., 140.])"
2274,691703,1974,['68/2303068_1893-10-25_1974.jpg'],1.0,81,"tensor([49., 70., 53.,  ..., 18., 12., 14.])"
2275,720151,2007,['11/2303211_1971-09-15_2007.jpg'],0.0,36,"tensor([ 82.,  70.,  56.,  ..., 170., 141., 137.])"
2276,714497,2011,['41/23032841_1956-03-23_2011.jpg'],1.0,55,"tensor([ 77.,  99., 120.,  ...,  53.,  48.,  44.])"
2277,727032,2011,['40/23033540_1990-07-18_2011.jpg'],1.0,21,"tensor([202., 181., 160.,  ..., 227., 236., 243.])"
2278,712821,2012,['96/2303396_1951-08-21_2012.jpg'],1.0,61,"tensor([100.,  64.,   6.,  ...,  49.,  49.,  51.])"
2279,718014,2008,['39/230339_1965-11-08_2008.jpg'],1.0,43,"tensor([102.,  78.,  50.,  ..., 165., 106.,  66.])"
2280,707628,2010,['14/2303414_1937-06-02_2010.jpg'],0.0,73,"tensor([96., 83., 92.,  ..., 36., 32., 20.])"
2283,718614,2009,['35/23035_1967-07-01_2009.jpg'],0.0,42,"tensor([196.,  64.,  87.,  ..., 214., 155., 121.])"
2285,701224,1945,['59/2303959_1919-11-20_1945.jpg'],0.0,26,"tensor([ 37.,  37.,  37.,  ..., 177., 177., 177.])"
2287,716975,2014,['62/23040662_1963-01-04_2014.jpg'],0.0,51,"tensor([ 36.,  38.,  33.,  ...,  13., 131., 179.])"
2290,714906,2014,['92/23043192_1957-05-06_2014.jpg'],1.0,57,"tensor([165.,  23.,   9.,  ...,  19.,  23.,  26.])"
2292,727556,2012,['94/23045394_1991-12-24_2012.jpg'],1.0,21,"tensor([112., 110., 111.,  ..., 130., 126., 123.])"
2294,717152,2010,['82/2304582_1963-06-30_2010.jpg'],1.0,47,"tensor([28., 23., 27.,  ..., 35., 25., 23.])"
2295,717459,2011,['55/2304655_1964-05-02_2011.jpg'],0.0,47,"tensor([122., 163.,  35.,  ...,  35.,  49.,  60.])"
2298,722787,2009,['66/23048066_1978-12-03_2009.jpg'],1.0,31,"tensor([ 64.,  76.,  98.,  ..., 153., 174.,  97.])"
2300,703237,1953,['09/23051109_1925-05-25_1953.jpg'],1.0,28,"tensor([176., 207., 209.,  ...,  78.,  59.,  65.])"
2301,720673,2012,['41/23052041_1973-02-18_2012.jpg'],1.0,39,"tensor([114., 116., 115.,  ..., 167., 164., 155.])"
2302,712580,2012,['46/2305246_1950-12-23_2012.jpg'],1.0,62,"tensor([148., 152., 153.,  ...,  14.,  14.,  14.])"
2304,715952,2013,['10/23055210_1960-03-17_2013.jpg'],1.0,53,"tensor([156., 164., 153.,  ...,  24.,  30.,  28.])"
2306,725490,2011,['56/23057456_1986-04-28_2011.jpg'],0.0,25,"tensor([ 92., 116., 152.,  ..., 255., 228., 234.])"
2308,720534,2006,['60/2306160_1972-10-02_2006.jpg'],1.0,34,"tensor([111.,  87.,  63.,  ...,  41.,  27.,  27.])"
2310,711150,2012,['17/2306217_1947-01-23_2012.jpg'],1.0,65,"tensor([ 96.,  83.,  74.,  ..., 238., 233., 227.])"
2314,723762,2012,['74/23065174_1981-08-04_2012.jpg'],0.0,31,"tensor([222., 223., 228.,  ...,  47.,  37.,  36.])"
2315,721232,2013,['29/2306629_1974-08-31_2013.jpg'],1.0,39,"tensor([173., 192., 207.,  ..., 152., 125., 104.])"
2316,704009,1953,['64/230664_1927-07-06_1953.jpg'],0.0,26,"tensor([77., 99., 61.,  ..., 93., 48., 43.])"
2317,716669,2008,['45/23067345_1962-03-04_2008.jpg'],1.0,46,"tensor([237., 218., 204.,  ..., 234., 215., 201.])"
2319,706779,1958,['51/2306851_1935-02-04_1958.jpg'],0.0,23,"tensor([180., 180., 180.,  ..., 156., 156., 156.])"
2320,710604,2014,['98/230698_1945-07-26_2014.jpg'],0.0,69,"tensor([216., 234., 246.,  ...,  66.,  66.,  66.])"
2321,721797,2008,['95/2306995_1976-03-18_2008.jpg'],1.0,32,"tensor([118., 119., 113.,  ...,  23.,  25.,  24.])"
2324,694077,1970,['32/230732_1900-04-26_1970.jpg'],1.0,70,"tensor([ 47.,  47.,  47.,  ..., 105., 105., 105.])"
2326,720059,2012,['96/2307496_1971-06-15_2012.jpg'],0.0,41,"tensor([47., 26.,  9.,  ...,  6.,  0.,  0.])"
2327,703517,1953,['80/2307980_1926-03-01_1953.jpg'],1.0,27,"tensor([173., 173., 173.,  ...,  28.,  28.,  28.])"
2328,715049,2011,['19/2308119_1957-09-26_2011.jpg'],1.0,54,"tensor([217., 206., 202.,  ..., 251., 252., 254.])"
2329,713443,2010,['24/23082624_1953-05-04_2010.jpg'],1.0,57,"tensor([243., 240., 235.,  ...,  15.,  16.,   8.])"
2330,716847,2014,['05/23083005_1962-08-29_2014.jpg'],0.0,52,"tensor([84., 52., 29.,  ..., 20., 18., 21.])"
2331,717039,1993,['43/2308343_1963-03-09_1993.jpg'],1.0,30,"tensor([236., 239., 230.,  ...,  55.,  79., 143.])"
2336,707828,1992,['79/23087679_1937-12-19_1992.jpg'],1.0,55,"tensor([ 56.,  83.,  48.,  ...,  47.,  51., 138.])"
2338,717241,2014,['13/23088113_1963-09-27_2014.jpg'],1.0,51,"tensor([29., 29., 29.,  ...,  6.,  6.,  6.])"
2339,713704,2008,['58/23091558_1954-01-20_2008.jpg'],0.0,54,"tensor([103.,  93.,  91.,  ..., 219., 202., 186.])"
2340,708309,2007,['01/23092201_1939-04-14_2007.jpg'],1.0,68,"tensor([ 65.,  52.,  35.,  ..., 229., 246., 254.])"
2344,724952,2011,['19/23097119_1984-11-06_2011.jpg'],0.0,27,"tensor([204., 206., 195.,  ..., 178., 130., 107.])"
2346,720599,2013,['04/33002004_1972-12-06_2013.jpg'],0.0,41,"tensor([12., 19., 38.,  ..., 74., 35.,  6.])"
2352,707177,1958,['49/3300249_1936-03-08_1958.jpg'],0.0,22,"tensor([29., 29., 29.,  ..., 40., 40., 40.])"
2353,727535,2012,['08/33002808_1991-12-03_2012.jpg'],1.0,21,"tensor([ 62.,  86.,  72.,  ..., 255., 122.,  65.])"
2358,703996,1981,['17/3300417_1927-06-23_1981.jpg'],1.0,54,"tensor([91., 91., 91.,  ..., 44., 44., 44.])"
2360,701618,1946,['96/3300496_1920-12-18_1946.jpg'],0.0,26,"tensor([23., 23., 23.,  ..., 35., 35., 35.])"
2366,700981,1958,['32/33010732_1919-03-22_1958.jpg'],1.0,39,"tensor([135., 135., 135.,  ..., 198., 198., 198.])"
2367,725772,2013,['68/33010968_1987-02-04_2013.jpg'],,26,"tensor([106.,  91.,  88.,  ...,  58.,  62.,  65.])"
2368,727487,2009,['89/33012989_1991-10-16_2009.jpg'],1.0,18,"tensor([231., 239., 242.,  ...,  63.,  48.,  45.])"
2369,726326,2009,['48/33015548_1988-08-11_2009.jpg'],,21,"tensor([135., 142., 135.,  ...,  25., 129., 226.])"
2371,715815,2006,['60/33017660_1959-11-01_2006.jpg'],0.0,47,"tensor([229., 197.,  62.,  ...,  91.,  88.,  95.])"
2372,719974,2013,['02/3301802_1971-03-22_2013.jpg'],1.0,42,"tensor([ 21.,  23.,  22.,  ..., 243., 241., 242.])"
2373,726604,2010,['52/33019952_1989-05-16_2010.jpg'],,21,"tensor([212.,  93.,  87.,  ..., 208., 118., 146.])"
2379,722740,2013,['78/3302378_1978-10-17_2013.jpg'],1.0,35,"tensor([ 22.,  61., 120.,  ..., 158.,   9.,  51.])"
2380,696158,1942,['20/33024720_1906-01-06_1942.jpg'],1.0,36,"tensor([218., 218., 218.,  ..., 187., 187., 187.])"
2381,720045,2015,['63/330263_1971-06-01_2015.jpg'],0.0,44,"tensor([199., 199., 191.,  ..., 126., 179., 219.])"
2385,725595,2012,['41/33029141_1986-08-11_2012.jpg'],0.0,26,"tensor([196., 192., 225.,  ...,  38.,  36.,  85.])"
2386,726459,2012,['60/33029160_1988-12-22_2012.jpg'],0.0,24,"tensor([184., 179., 209.,  ...,  38.,  40., 117.])"
2387,725785,2012,['03/33029203_1987-02-17_2012.jpg'],0.0,25,"tensor([197., 199., 222.,  ...,  12.,  11.,  68.])"
2388,725795,2012,['18/33029218_1987-02-27_2012.jpg'],0.0,25,"tensor([201., 198., 227.,  ..., 201., 198., 227.])"
2389,721148,2012,['33/33029233_1974-06-08_2012.jpg'],0.0,38,"tensor([201., 198., 227.,  ...,  99.,  83.,  84.])"
2390,725544,2013,['39/33029239_1986-06-21_2013.jpg'],0.0,27,"tensor([ 36.,  12.,   0.,  ..., 171., 143., 131.])"
2391,721884,2012,['58/33029258_1976-06-13_2012.jpg'],0.0,36,"tensor([191., 187., 210.,  ..., 194., 190., 213.])"
2392,723342,2012,['91/33029291_1980-06-10_2012.jpg'],1.0,32,"tensor([197., 193., 228.,  ..., 210., 210., 244.])"
2393,724065,2012,['02/33029302_1982-06-03_2012.jpg'],1.0,30,"tensor([209., 213., 214.,  ..., 201., 203., 202.])"
2394,724391,2012,['19/33029319_1983-04-25_2012.jpg'],1.0,29,"tensor([195., 196., 226.,  ...,  53.,  54., 134.])"
2395,725099,2012,['40/33029340_1985-04-02_2012.jpg'],1.0,27,"tensor([198., 194., 227.,  ...,  27.,  24.,  93.])"
2396,722991,2012,['74/33029374_1979-06-25_2012.jpg'],1.0,33,"tensor([245., 241., 238.,  ...,   7., 136., 141.])"
2399,717346,2010,['46/3303046_1964-01-10_2010.jpg'],1.0,46,"tensor([207., 213., 199.,  ...,  24.,   6.,   6.])"
2402,718259,2000,['49/33031149_1966-07-11_2000.jpg'],0.0,34,"tensor([223., 187., 113.,  ...,  55.,  55.,  63.])"
2403,717534,2012,['01/33031201_1964-07-16_2012.jpg'],0.0,48,"tensor([180., 178., 202.,  ...,  34.,  37.,  72.])"
2405,717811,2000,['28/33031428_1965-04-19_2000.jpg'],1.0,35,"tensor([234., 228., 204.,  ...,  37.,  41.,  50.])"
2406,697607,1984,['69/33033669_1909-12-25_1984.jpg'],1.0,75,"tensor([ 58.,  58.,  58.,  ..., 236., 236., 236.])"
2408,728318,2014,['90/33034290_1994-01-24_2014.jpg'],1.0,20,"tensor([113., 116., 125.,  ...,  50.,  63., 133.])"
2411,709329,2011,['07/3303507_1942-01-28_2011.jpg'],1.0,69,"tensor([11., 10.,  8.,  ..., 52., 42., 33.])"
2413,717726,2011,['72/3303572_1965-01-24_2011.jpg'],1.0,46,"tensor([152.,  95.,  40.,  ...,  76.,  78.,  91.])"
2414,727332,2013,['16/33037116_1991-05-14_2013.jpg'],,22,"tensor([254., 254., 254.,  ..., 119.,  94.,  90.])"
2417,725352,2010,['17/33038517_1985-12-11_2010.jpg'],0.0,25,"tensor([199., 174., 154.,  ..., 142., 109.,  68.])"
2418,718984,2013,['25/33039125_1968-07-05_2013.jpg'],0.0,45,"tensor([123., 143., 132.,  ...,  75.,  65.,  66.])"
2419,724091,2011,['18/33039518_1982-06-29_2011.jpg'],1.0,29,"tensor([ 65.,  67.,  53.,  ..., 177., 199., 114.])"
2422,706403,2007,['06/33043006_1934-01-24_2007.jpg'],1.0,73,"tensor([171., 164., 136.,  ...,  62.,  50.,  24.])"
2423,725207,2008,['39/3304339_1985-07-19_2008.jpg'],1.0,23,"tensor([135., 113.,  89.,  ...,  35.,  21.,  20.])"
2426,704059,1956,['36/330436_1927-08-25_1956.jpg'],0.0,29,"tensor([226., 226., 226.,  ...,  49.,  49.,  49.])"
2430,724315,2009,['50/3304550_1983-02-08_2009.jpg'],0.0,26,"tensor([32., 38., 38.,  ..., 58., 29.,  0.])"
2432,723686,2011,['33/33046433_1981-05-20_2011.jpg'],0.0,30,"tensor([  2.,   2.,   2.,  ..., 127.,  49., 169.])"
2440,724608,2009,['54/33052254_1983-11-28_2009.jpg'],1.0,26,"tensor([255., 255., 255.,  ..., 199., 255., 255.])"
2442,725778,2010,['48/33054148_1987-02-10_2010.jpg'],,23,"tensor([ 83., 108., 139.,  ...,  21.,  25.,  28.])"
2444,727045,2014,['28/33056028_1990-07-31_2014.jpg'],1.0,24,"tensor([77., 76., 45.,  ..., 98., 79., 75.])"
2450,695491,1995,['81/3305981_1904-03-10_1995.jpg'],1.0,91,"tensor([181., 181., 181.,  ..., 117., 117., 117.])"
2453,726851,2011,['98/33061398_1990-01-18_2011.jpg'],1.0,21,"tensor([  0.,  18.,  18.,  ..., 247., 246., 252.])"
2458,701306,1969,['87/3306287_1920-02-10_1969.jpg'],0.0,49,"tensor([147., 147., 147.,  ..., 104., 104., 104.])"
2459,727055,2015,['91/33063991_1990-08-10_2015.jpg'],1.0,25,"tensor([113., 132., 139.,  ..., 211., 187.,  25.])"
2461,720198,2010,['42/330642_1971-11-01_2010.jpg'],1.0,39,"tensor([117., 133., 169.,  ..., 255., 249., 230.])"
2467,725388,2014,['33/33066633_1986-01-16_2014.jpg'],1.0,28,"tensor([26., 26., 18.,  ..., 26., 15., 13.])"
2469,715086,2013,['07/33067207_1957-11-02_2013.jpg'],1.0,56,"tensor([ 46.,  41.,  37.,  ...,  68.,  82., 119.])"
2470,724261,2007,['26/3306826_1982-12-16_2007.jpg'],1.0,25,"tensor([250., 251., 246.,  ...,  32.,  32.,  44.])"
2471,721327,2011,['68/33068868_1974-12-04_2011.jpg'],1.0,37,"tensor([13., 16., 47.,  ..., 96.,  2.,  2.])"
2476,720793,2010,['31/33071831_1973-06-18_2010.jpg'],1.0,37,"tensor([115.,  71.,  26.,  ..., 189., 151., 106.])"
2478,729796,2008,['74/33073374_1998-02-10_2008.jpg'],0.0,10,"tensor([168., 169., 171.,  ...,  14.,  12.,  23.])"
2479,726815,2012,['77/33073577_1989-12-13_2012.jpg'],1.0,23,"tensor([197.,   0.,  20.,  ..., 130.,  42.,  30.])"
2480,721597,2011,['20/33073820_1975-08-31_2011.jpg'],1.0,36,"tensor([ 47.,  59.,  57.,  ..., 247., 251., 252.])"
2482,718325,2007,['29/3307429_1966-09-15_2007.jpg'],1.0,41,"tensor([105., 126., 129.,  ...,  33.,  50.,  44.])"
2484,718371,2012,['32/33075232_1966-10-31_2012.jpg'],1.0,46,"tensor([63., 42., 37.,  ...,  2.,  1.,  6.])"
2485,726343,2011,['50/33075350_1988-08-28_2011.jpg'],1.0,23,"tensor([ 72.,  78., 114.,  ..., 168., 164., 179.])"
2489,716614,2009,['41/33077741_1962-01-08_2009.jpg'],1.0,47,"tensor([17., 17., 17.,  ..., 30., 32., 31.])"
2497,725829,2014,['28/33082428_1987-04-02_2014.jpg'],0.0,27,"tensor([23., 23., 25.,  ..., 47., 49., 46.])"
2502,697901,1961,['81/330881_1910-10-15_1961.jpg'],1.0,51,"tensor([180., 180., 180.,  ...,  30.,  30.,  30.])"
2509,699394,1942,['93/33093_1914-11-16_1942.jpg'],1.0,28,"tensor([53., 49., 46.,  ..., 27., 27., 27.])"
2510,724862,2013,['35/33094035_1984-08-08_2013.jpg'],1.0,29,"tensor([215., 220., 223.,  ..., 163., 163., 165.])"
2511,718771,2007,['73/33094173_1967-12-05_2007.jpg'],1.0,40,"tensor([168., 112.,  55.,  ...,  72.,  61.,  59.])"
2522,729196,2014,['96/43004196_1996-06-20_2014.jpg'],1.0,18,"tensor([137., 150., 140.,  ..., 217.,  33.,   0.])"
2523,711218,1982,['12/43004912_1947-04-01_1982.jpg'],1.0,35,"tensor([59., 59., 59.,  ..., 68., 68., 68.])"
2526,727602,2014,['45/43006245_1992-02-08_2014.jpg'],1.0,22,"tensor([178., 200., 187.,  ..., 254.,  24.,  52.])"
2527,725927,2014,['79/43007879_1987-07-09_2014.jpg'],0.0,27,"tensor([203., 190., 156.,  ..., 189., 134., 103.])"
2529,722021,2013,['34/43010134_1976-10-28_2013.jpg'],1.0,37,"tensor([125.,   4., 197.,  ...,  20.,  18.,  42.])"
2534,706176,1970,['44/430144_1933-06-11_1970.jpg'],1.0,37,"tensor([223., 223., 223.,  ..., 171., 171., 171.])"
2537,701677,1946,['54/43015854_1921-02-15_1946.jpg'],0.0,25,"tensor([197., 197., 197.,  ...,  21.,  21.,  21.])"
2539,708151,1977,['05/4301805_1938-11-07_1977.jpg'],1.0,39,"tensor([186., 186., 186.,  ...,  81.,  81.,  81.])"
